The Verifier - November 2024 / Arkansas. Data as of October 29, 2025.
FIPS code,State,Jurisdiction,Registered Voters,Precincts,Voting Location,All Mail Ballot?,Election Day Marking Method,Election Day Tabulation
"0500100000","Arkansas","Arkansas County","6396","30","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0500300000","Arkansas","Ashley County","7857","11","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0500500000","Arkansas","Baxter County","23560","50","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0500700000","Arkansas","Benton County","147536","429","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0500900000","Arkansas","Boone County","19476","13","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0501100000","Arkansas","Bradley County","3667","15","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0501300000","Arkansas","Calhoun County","2343","22","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0501500000","Arkansas","Carroll County","13365","11","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0501700000","Arkansas","Chicot County","4383","13","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0501900000","Arkansas","Clark County","8986","27","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0502100000","Arkansas","Clay County","5251","17","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0502300000","Arkansas","Cleburne County","14542","35","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0502500000","Arkansas","Cleveland County","3860","17","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0502700000","Arkansas","Columbia County","8734","14","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0502900000","Arkansas","Conway County","11304","31","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0503100000","Arkansas","Craighead County","43207","53","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0503300000","Arkansas","Crawford County","25754","13","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0503500000","Arkansas","Crittenden County","16762","17","Assigned Polling Place","No","Ballot Marking Devices for all voters","Optical Scan",
"0503700000","Arkansas","Cross County","7505","14","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0503900000","Arkansas","Dallas County","3450","9","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0504100000","Arkansas","Desha County","4354","21","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0504300000","Arkansas","Drew County","7247","17","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0504500000","Arkansas","Faulkner County","60824","51","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0504700000","Arkansas","Franklin County","7863","39","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0504900000","Arkansas","Fulton County","5808","10","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0505100000","Arkansas","Garland County","48074","52","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0505300000","Arkansas","Grant County","10686","19","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0505500000","Arkansas","Greene County","17754","11","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0505700000","Arkansas","Hempstead County","6912","24","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0505900000","Arkansas","Hot Spring County","14604","31","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0506100000","Arkansas","Howard County","5336","9","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0506300000","Arkansas","Independence County","16015","34","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0506500000","Arkansas","Izard County","7605","46","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0506700000","Arkansas","Jackson County","5835","9","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0506900000","Arkansas","Jefferson County","25021","199","Assigned Polling Place","No","Ballot Marking Devices for all voters","Optical Scan",
"0507100000","Arkansas","Johnson County","9366","11","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0507300000","Arkansas","Lafayette County","2822","9","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0507500000","Arkansas","Lawrence County","6758","28","Assigned Polling Place","No","Ballot Marking Devices for all voters","Optical Scan",
"0507700000","Arkansas","Lee County","2954","24","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0507900000","Arkansas","Lincoln County","3855","24","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"0508100000","Arkansas","Little River County","5826","20","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"0508300000","Arkansas","Logan County","8921","37","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0508500000","Arkansas","Lonoke County","33954","55","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0508700000","Arkansas","Madison County","9833","10","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0508900000","Arkansas","Marion County","9319","32","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0509100000","Arkansas","Miller County","17871","19","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0509300000","Arkansas","Mississippi County","12762","54","Assigned Polling Place","No","Ballot Marking Devices for all voters","Optical Scan",
"0509500000","Arkansas","Monroe County","3018","25","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0509700000","Arkansas","Montgomery County","3759","17","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0509900000","Arkansas","Nevada County","3310","18","Assigned Polling Place","No","Ballot Marking Devices for all voters","Optical Scan",
"0510100000","Arkansas","Newton County","4295","19","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0510300000","Arkansas","Ouachita County","8644","19","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0510500000","Arkansas","Perry County","6164","17","Assigned Polling Place","No","Ballot Marking Devices for all voters","Optical Scan",
"0510700000","Arkansas","Phillips County","5772","55","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0510900000","Arkansas","Pike County","5065","11","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0511100000","Arkansas","Poinsett County","8837","12","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0511300000","Arkansas","Polk County","9555","17","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0511500000","Arkansas","Pope County","27117","56","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0511700000","Arkansas","Prairie County","3857","10","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0511900000","Arkansas","Pulaski County","177657","132","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0512100000","Arkansas","Randolph County","8072","29","Assigned Polling Place","No","Ballot Marking Devices for all voters","Optical Scan",
"0512500000","Arkansas","Saline County","64705","42","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0512700000","Arkansas","Scott County","4027","26","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0512900000","Arkansas","Searcy County","6171","15","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0513100000","Arkansas","Sebastian County","53203","220","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0513300000","Arkansas","Sevier County","5511","9","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0513500000","Arkansas","Sharp County","9035","26","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0512300000","Arkansas","St. Francis County","7107","16","Assigned Polling Place","No","Ballot Marking Devices for all voters","Optical Scan",
"0513700000","Arkansas","Stone County","7551","21","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0513900000","Arkansas","Union County","14463","27","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0514100000","Arkansas","Van Buren County","8972","22","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0514300000","Arkansas","Washington County","111568","233","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0514500000","Arkansas","White County","35990","32","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0514700000","Arkansas","Woodruff County","2441","20","Assigned Polling Place","No","Ballot Marking Devices for all voters","Optical Scan",
"0514900000","Arkansas","Yell County","7676","28","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",