The Verifier - November 2016 / Maryland. Data as of October 29, 2025.
FIPS code,State,Jurisdiction,Registered Voters,Precincts,Voting Location,All Mail Ballot?,Election Day Marking Method,Election Day Tabulation
"2400100000","Maryland","Allegany County","43051","37","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2400300000","Maryland","Anne Arundel County","377502","195","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2451000000","Maryland","City of Baltimore","390616","299","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2400500000","Maryland","Baltimore County","546886","236","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2400900000","Maryland","Calvert County","62700","23","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2401100000","Maryland","Caroline County","19498","8","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2401300000","Maryland","Carroll County","119143","35","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2401500000","Maryland","Cecil County","64896","28","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2401700000","Maryland","Charles County","108334","43","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2401900000","Maryland","Dorchester County","21223","40","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2402100000","Maryland","Frederick County","164464","84","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2402300000","Maryland","Garrett County","19544","19","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2402500000","Maryland","Harford County","174334","89","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2402700000","Maryland","Howard County","207245","118","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2402900000","Maryland","Kent County","12952","10","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2403100000","Maryland","Montgomery County","656674","257","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2403300000","Maryland","Prince George's County","575809","302","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2403500000","Maryland","Queen Anne's County","34795","12","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2403900000","Maryland","Somerset County","12948","23","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2403700000","Maryland","St. Mary's County","69372","36","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2404100000","Maryland","Talbot County","26747","12","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2404300000","Maryland","Washington County","93666","52","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2404500000","Maryland","Wicomico County","59712","54","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2404700000","Maryland","Worcester County","37979","20","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",